Fecha,Hora,Equipo 1,Equipo 2,Cartilla nueva,Fase
14/06/2023,11:00,Rusia,Arabia Saudita,x,Fase de grupos
15/06/2023,08:00,Egipto,Uruguay,,
15/06/2023,11:00,Marruecos,Irán,,
15/06/2023,14:00,Portugal,España,,
16/06/2023,06:00,Francia,Australia,,
16/06/2023,09:00,Argentina,Islandia,,
16/06/2023,12:00,Perú,Dinamarca,,
16/06/2023,15:00,Croacia,Nigeria,,
17/06/2023,08:00,Costa Rica,Serbia,x,Fase de grupos
17/06/2023,11:00,Alemania,México,,
17/06/2023,14:00,Brasil,Suiza,,
18/06/2023,08:00,Suecia,Corea del Sur,,
18/06/2023,11:00,Bélgica,Panamá,,
18/06/2023,14:00,Túnez,Inglaterra,,
19/06/2023,08:00,Colombia,Japón,x,Fase de grupos
19/06/2023,11:00,Polonia,Senegal,,
19/06/2023,14:00,Rusia,Egipto,,
20/06/2023,08:00,Portugal,Marruecos,,
20/06/2023,11:00,Uruguay,Arabia Saudita,,
20/06/2023,14:00,Irán,España,,
21/06/2023,08:00,Dinamarca,Australia,x,Fase de grupos
21/06/2023,11:00,Francia,Perú,,
21/06/2023,14:00,Argentina,Croacia,,
22/06/2023,08:00,Brasil,Costa Rica,,
22/06/2023,11:00,Nigeria,Islandia,,
22/06/2023,14:00,Serbia,Suiza,,
23/06/2023,08:00,Bélgica,Túnez,x,Fase de grupos
23/06/2023,11:00,Corea del Sur,México,,
23/06/2023,14:00,Alemania,Suecia,,
24/06/2023,08:00,Inglaterra,Panamá,,
24/06/2023,11:00,Japón,Senegal,,
24/06/2023,14:00,Polonia,Colombia,,
25/06/2023,10:00,Arabia Saudita,Egipto,x,Fase de grupos
25/06/2023,10:00,Uruguay,Rusia,,
25/06/2023,14:00,Irán,Portugal,,
25/06/2023,14:00,España,Marruecos,,
26/06/2023,10:00,Australia,Perú,,
26/06/2023,10:00,Dinamarca,Francia,,
26/06/2023,14:00,Nigeria,Argentina,,
26/06/2023,14:00,Islandia,Croacia,,
27/06/2023,10:00,Corea del Sur,Alemania,x,Fase de grupos
27/06/2023,10:00,México,Suecia,,
27/06/2023,14:00,Suiza,Costa Rica,,
27/06/2023,14:00,Serbia,Brasil,,
28/06/2023,10:00,Senegal,Colombia,,
28/06/2023,10:00,Japón,Polonia,,
28/06/2023,14:00,Inglaterra,Bélgica,,
28/06/2023,14:00,Panamá,Túnez,,
30/06/2023,10:00,,,x,Octavos de final
30/06/2023,14:00,,,,
01/07/2023,10:00,,,,
01/07/2023,14:00,,,,
02/07/2023,10:00,,,,
02/07/2023,14:00,,,,
03/07/2023,10:00,,,,
03/07/2023,14:00,,,,
06/07/2023,10:00,,,x,Cuartos de final
06/07/2023,14:00,,,,
07/07/2023,10:00,,,,
07/07/2023,14:00,,,,
10/07/2023,14:00,,,x,Semifinales
11/07/2023,14:00,,,,
14/07/2023,10:00,,,x,Finales
15/07/2023,11:00,,,,
